first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Azamat,Bekoev,Iron,182.88,185.0,72.0,Orthodox,20,5,0,138.0,264.0,1.0,16.0,4.57,6.83,3.48,0.0,,,1.49,52.0,44.0,8.0,40.0,4.0,20.0,8.0,40.0,7.55
Mirsad,Bektic,,172.72,145.0,70.0,Orthodox,13,4,0,247.0,591.0,17.0,51.0,2.43,1.8,3.98,0.44,,,0.29,42.0,53.0,7.0,54.0,4.0,31.0,2.0,15.0,10.166666666666666
Diana,Belbita,The Warrior Princess,170.18,125.0,68.0,Orthodox,15,10,0,561.0,1339.0,1.0,8.0,6.45,6.55,0.86,0.0,,,0.17,42.0,63.0,6.0,40.0,5.0,33.0,4.0,27.0,10.866666666666667
Alan,Belcher,The Talent,187.96,185.0,75.0,Orthodox,18,8,0,372.0,889.0,,15.0,2.7,3.1,0.44,0.87,,,0.33,42.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,9.183333333333334
Vitor,Belfort,The Phenom,182.88,185.0,74.0,Southpaw,26,14,0,351.0,756.0,3.0,25.0,1.59,2.83,1.02,0.61,,,0.75,46.0,60.0,18.0,69.0,5.0,19.0,3.0,12.0,7.35
Yousri,Belgaroui,,198.12,185.0,79.0,Orthodox,10,3,0,318.0,495.0,1.0,1.0,6.1,2.17,0.29,0.0,,,0.86,64.0,100.0,8.0,80.0,2.0,20.0,0.0,0.0,13.033333333333331
Rodolfo,Bellato,Trator,190.5,205.0,75.0,Orthodox,13,3,1,351.0,585.0,1.0,17.0,5.37,5.86,1.38,0.23,,,0.46,60.0,35.0,8.0,62.0,1.0,8.0,4.0,31.0,9.333333333333334
Danilo,Belluardo,Caterpillar,182.88,155.0,74.0,Southpaw,12,5,0,13.0,21.0,2.0,2.0,1.52,4.79,3.5,0.0,,,0.0,62.0,100.0,6.0,50.0,3.0,25.0,3.0,25.0,4.283333333333333
Joey,Beltran,The Mexicutioner,185.42,185.0,75.0,Orthodox,17,14,0,762.0,2090.0,,27.0,4.92,5.27,0.48,0.0,,,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6
Marco,Beltran,Psycho,172.72,125.0,69.0,Orthodox,8,6,0,134.0,357.0,3.0,6.0,2.07,1.93,0.7,0.23,,,0.23,38.0,50.0,2.0,25.0,2.0,25.0,4.0,50.0,10.783333333333331
Joseph,Benavidez,,162.56,125.0,65.0,Southpaw,28,8,0,1161.0,3338.0,16.0,101.0,3.52,2.67,1.41,0.59,,,0.36,35.0,31.0,8.0,29.0,11.0,39.0,9.0,32.0,11.383333333333333
Mike,Bencic,Batman,182.88,215.0,,Orthodox,1,2,0,0.0,4.0,,,0.0,3.32,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666666666666663
Dave,Beneteau,Dangerous,187.96,250.0,,Orthodox,6,5,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Karla,Benitez,,160.02,113.0,,,14,11,1,,,,,,,,,,,,,,,,,,,,
Gabriel,Benitez,Moggly,172.72,155.0,71.0,Southpaw,23,13,0,731.0,1754.0,1.0,4.0,5.26,4.49,0.22,0.86,,,0.43,42.0,50.0,9.0,39.0,4.0,17.0,10.0,43.0,9.266666666666667
Charles,Bennett,Krazy Horse,172.72,155.0,,Orthodox,30,33,2,31.0,79.0,,3.0,1.39,1.35,2.02,2.02,,,1.35,39.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.716666666666667
Josh,Bennett,,193.04,259.0,,Orthodox,11,14,0,29.0,72.0,,1.0,2.9,5.8,1.5,0.0,,,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
DeAnna,Bennett,The Argentine Assassin,162.56,125.0,68.0,Orthodox,8,3,1,47.0,81.0,,11.0,3.13,3.27,0.0,1.0,,0.0,,58.0,0.0,2.0,25.0,4.0,50.0,2.0,25.0,15.0
Benjamin,Bennett,Mr. Alaska,182.88,170.0,73.0,Switch,7,1,0,,,,,,,,,,,,,,,,,,,,
Lance,Benoist,,180.34,170.0,72.0,Southpaw,7,2,0,221.0,432.0,,18.0,3.68,2.7,1.5,0.0,,,0.25,51.0,33.0,1.0,14.0,2.0,29.0,4.0,57.0,15.0
Joe,Benoit,,175.26,170.0,,Orthodox,11,4,0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833333333333333
Ryan,Benoit,Baby Face,165.1,125.0,68.0,Orthodox,10,8,0,306.0,782.0,1.0,9.0,2.88,3.65,0.28,0.42,,,0.71,39.0,22.0,8.0,80.0,1.0,10.0,1.0,10.0,11.816666666666666
Pat,Benson,,175.26,155.0,,,3,5,3,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
