first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Murtaza,Talha,,182.88,205.0,74.0,Orthodox,7,2,0,55.0,95.0,,10.0,4.29,7.09,0.0,0.0,,,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.416666666666667
Tsuyoshi,Tamakairiki,,182.88,220.0,,Orthodox,0,3,0,0.0,1.0,,,0.0,26.67,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Eli,Tamez,Tomahawk,170.18,135.0,,,10,0,0,,,,,,,,,,,,,,,,,,,,
Kiyoshi,Tamura,,180.34,185.0,,Southpaw,32,13,3,,,,,,,,,,,,,,,,,,,,
Akitoshi,Tamura,The Ironman,175.26,135.0,70.0,Orthodox,21,18,2,167.0,380.0,,1.0,3.73,1.94,0.0,1.0,,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.933333333333334
Issei,Tamura,,165.1,135.0,63.0,Orthodox,10,8,0,31.0,58.0,,4.0,1.89,4.58,0.92,0.0,,,1.83,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466666666666667
Jason,Tan,,177.8,170.0,,Orthodox,5,3,0,8.0,27.0,,6.0,0.69,7.37,0.0,0.0,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333
Akihito,Tanaka,Kinniku Mantaro,,,,Southpaw,2,2,0,,,,,,,,,,,,,,,,,,,,
Michinori,Tanaka,,165.1,135.0,67.0,Orthodox,11,3,0,148.0,395.0,,31.0,1.97,1.99,2.4,0.2,,,0.0,37.0,39.0,0.0,0.0,6.0,55.0,5.0,45.0,15.0
Evan,Tanner,,182.88,185.0,74.0,Orthodox,32,8,0,341.0,578.0,,44.0,3.05,2.64,2.55,1.34,,,0.13,59.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45
Kasey,Tanner,,170.18,135.0,69.0,Orthodox,6,1,0,,,,,,,,,,,,,,,,,,,,
Otari,Tanzilovi,,177.8,135.0,70.0,Orthodox,9,1,0,,,,,,,,,,,,,,,,,,,,
Manny,Tapia,The Mangler,165.1,135.0,67.0,Orthodox,12,14,1,165.0,783.0,,5.0,2.69,4.74,0.49,0.24,,,0.49,21.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.266666666666667
Gary,Tapusoa,,170.18,185.0,,,8,3,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Regina,Tarin,Kill Bill,170.18,135.0,66.0,Southpaw,8,0,0,,,,,,,,,,,,,,,,,,,,
Miesha,Tate,Cupcake,167.64,135.0,65.0,Orthodox,20,10,0,738.0,1662.0,14.0,120.0,2.62,3.05,1.97,1.22,,,0.05,44.0,31.0,4.0,20.0,8.0,40.0,8.0,40.0,12.816666666666666
Aaron,Tau,Tauzemup,162.56,125.0,66.0,Switch,11,1,0,164.0,371.0,,11.0,4.85,5.0,0.89,0.0,,,0.44,44.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.266666666666667
Deividas,Taurosevicius,,175.26,145.0,68.0,Southpaw,17,5,0,96.0,223.0,,21.0,2.13,1.82,2.0,0.33,,,0.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Thiago,Tavares,,170.18,145.0,70.0,Orthodox,21,7,1,329.0,820.0,,98.0,2.0,2.31,3.83,1.46,,,0.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133333333333333
Jeremy,Tavares,,,135.0,,,1,6,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Brad,Tavares,,185.42,185.0,74.0,Orthodox,21,13,0,1243.0,2844.0,16.0,64.0,3.41,3.32,0.7,0.0,,,0.21,44.0,27.0,5.0,24.0,14.0,67.0,2.0,10.0,13.016666666666667
Ramon,Taveras,The Savage,172.72,145.0,70.0,Southpaw,10,4,0,195.0,452.0,,4.0,4.07,6.45,0.0,0.0,,,0.63,43.0,0.0,5.0,50.0,2.0,20.0,3.0,30.0,9.583333333333334
Paul,Taylor,Relentless,182.88,155.0,72.0,Orthodox,11,6,1,495.0,1033.0,,8.0,4.44,4.47,0.27,0.54,,,0.54,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4
Jesse,Taylor,JT Money,182.88,170.0,73.0,Orthodox,31,15,0,28.0,43.0,3.0,14.0,1.94,0.55,7.28,3.12,,,0.0,65.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.883333333333334
Torrance,Taylor,,170.18,155.0,,,13,8,1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Louis,Taylor,Handgunz,180.34,185.0,,Orthodox,13,4,0,25.0,76.0,,7.0,2.06,1.24,2.48,0.0,,,0.0,33.0,29.0,5.0,45.0,1.0,9.0,5.0,45.0,10.266666666666667
Anthony,Taylor,Pretty Boy,170.18,145.0,,,1,3,0,,,,,,,,,,,,,,,,,,,,
Danielle,Taylor,Dynamite,152.4,115.0,60.0,Orthodox,9,4,0,206.0,699.0,1.0,5.0,2.75,3.31,0.2,0.2,,,0.0,29.0,20.0,3.0,33.0,5.0,56.0,1.0,11.0,15.0
J.T,Taylor,The Outlaw,177.8,,,,7,7,0,,,,,,,,,,,,,,,,,,,,
James,Te Huna,,187.96,185.0,75.0,Orthodox,16,9,0,242.0,471.0,,29.0,4.04,2.99,2.75,0.25,,,0.5,51.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cam,Teague,Chaos,177.8,145.0,69.0,Orthodox,9,2,0,,,,,,,,,,,,,,,,,,,,
Shawn,Teed,,195.58,265.0,,Orthodox,5,2,0,6.0,14.0,,3.0,1.4,13.31,0.0,0.0,,0.0,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283333333333333
Glover,Teixeira,,187.96,205.0,76.0,Orthodox,33,9,0,1007.0,2023.0,20.0,112.0,3.73,4.43,2.11,0.94,,,0.33,50.0,34.0,18.0,55.0,5.0,15.0,10.0,30.0,10.333333333333334
John,Teixeira,Macapa,170.18,145.0,,Orthodox,21,2,2,151.0,426.0,,11.0,3.36,3.2,1.0,0.67,,,0.0,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Ewerton,Teixeira,,185.42,242.0,,,3,1,0,18.0,46.0,,,2.0,3.22,0.0,0.0,,,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Tallison,Teixeira,Xicao,200.66,258.0,83.0,Orthodox,9,2,0,91.0,145.0,,10.0,4.85,4.1,2.4,0.0,,1.6,,63.0,30.0,7.0,78.0,1.0,11.0,1.0,11.0,3.75
Tra,Telligman,Trauma,187.96,233.0,,Orthodox,7,5,1,63.0,176.0,,2.0,1.83,3.02,0.87,0.0,,,0.87,36.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.466666666666669
Ramazan,Temirov,Temurlan,162.56,125.0,63.0,Orthodox,19,3,0,78.0,194.0,,2.0,4.37,3.93,0.84,0.0,,,2.52,40.0,50.0,11.0,58.0,7.0,37.0,1.0,5.0,8.916666666666666
Taneisha,Tennant,Triple Threat,170.18,145.0,70.0,Orthodox,5,1,0,85.0,153.0,,7.0,5.67,3.4,0.0,0.0,,,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Herman,Terrado,,,170.0,,,15,3,1,,,,,,,,,,,,,,,,,,,,
Dave,Terrel,The Bionic,172.72,170.0,,Southpaw,7,7,0,60.0,137.0,,13.0,2.62,2.8,3.28,0.0,,,1.31,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633333333333334
David,Terrell,The Soul Assassin,185.42,185.0,,Southpaw,6,2,0,19.0,30.0,,6.0,2.34,2.71,5.54,5.54,,1.85,,63.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
James,Terry,Intensity,177.8,170.0,,Orthodox,19,9,0,117.0,360.0,,22.0,3.23,4.77,3.31,0.0,,,0.0,33.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133333333333333
Jeff,Terry,,187.96,205.0,,,2,3,0,,,,,,,,,,,,,,,,,,,,
David,Teymur,,175.26,155.0,73.0,Southpaw,8,2,0,299.0,692.0,4.0,12.0,4.69,3.53,0.94,0.0,,,0.71,43.0,33.0,4.0,50.0,4.0,50.0,0.0,0.0,10.633333333333333
Daniel,Teymur,Kid Dynamite,165.1,145.0,69.0,Orthodox,7,4,0,165.0,353.0,,11.0,3.08,3.93,0.56,0.28,,,0.0,47.0,18.0,3.0,43.0,1.0,14.0,3.0,43.0,10.733333333333333
Motonobu,Tezuka,,170.18,135.0,,Southpaw,28,12,7,26.0,110.0,,27.0,0.87,2.8,1.5,0.5,,0.0,,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Jason,Thacker,,177.8,185.0,,Orthodox,0,1,0,1.0,3.0,,,0.63,17.05,0.0,0.0,,0.0,,33.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.5833333333333333
Alexia,Thainara,Burguesinha,162.56,115.0,67.0,Orthodox,14,1,0,229.0,532.0,1.0,26.0,4.62,2.46,4.54,1.82,,,0.0,43.0,58.0,0.0,0.0,6.0,43.0,8.0,57.0,12.383333333333333
Brandon,Thatch,Rukus,187.96,170.0,74.0,Switch,11,5,0,119.0,278.0,,6.0,2.7,3.63,1.36,0.68,,,1.02,43.0,67.0,8.0,73.0,0.0,0.0,3.0,27.0,7.583333333333333
Elias,Theodorou,The Spartan,185.42,185.0,75.0,Orthodox,16,3,0,644.0,1524.0,13.0,46.0,4.19,2.39,1.27,0.0,,,0.0,42.0,28.0,6.0,35.0,10.0,59.0,1.0,6.0,13.983333333333333
Nik,Theotikos,,,185.0,,Orthodox,6,2,0,0.0,3.0,,,0.0,5.48,0.0,4.84,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Paulo,Thiago,,180.34,170.0,74.0,Orthodox,18,9,0,254.0,649.0,,44.0,1.71,1.99,1.42,1.21,,,0.4,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4
Colby,Thicknesse,Slickness,170.18,135.0,69.0,Orthodox,9,1,0,146.0,355.0,,28.0,3.24,2.93,0.67,1.67,,,0.0,41.0,7.0,2.0,22.0,5.0,56.0,2.0,22.0,15.0
Din,Thomas,Dinyero,175.26,155.0,,Orthodox,26,9,0,182.0,483.0,,17.0,1.85,2.6,1.38,1.22,,,0.15,38.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9
Ryan,Thomas,The Tank Engine,182.88,170.0,,Orthodox,20,8,0,27.0,75.0,,15.0,2.01,4.17,5.59,2.24,,0.0,,36.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.716666666666667
Noah,Thomas,,175.26,135.0,,Orthodox,14,7,0,5.0,36.0,,5.0,0.44,4.99,0.0,1.31,,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.716666666666667
Joel,Thomas,The NIce Guy,177.8,170.0,,,5,2,0,,,,,,,,,,,,,,,,,,,,
Treston,Thomison,,172.72,145.0,,,10,6,0,,,,,,,,,,,,,,,,,,,,
Nick,Thompson,The Goat,185.42,170.0,74.0,Orthodox,38,14,1,53.0,125.0,,2.0,1.87,1.8,1.06,2.64,,,0.0,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
James,Thompson,The Colossus,195.58,265.0,,Orthodox,20,16,0,294.0,560.0,,33.0,5.13,3.19,3.14,1.31,,,1.05,53.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783333333333333
Oli,Thompson,,185.42,242.0,75.0,Orthodox,17,10,0,55.0,119.0,,5.0,1.66,5.31,0.0,0.45,,,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05
Stephen,Thompson,Wonderboy,182.88,170.0,75.0,Orthodox,17,9,1,1293.0,2810.0,5.0,14.0,4.05,3.0,0.23,0.0,,,0.47,46.0,36.0,8.0,47.0,8.0,47.0,1.0,6.0,14.516666666666667
Josh,Thomson,The Punk,177.8,155.0,71.0,Orthodox,22,9,0,870.0,1823.0,,108.0,2.59,2.12,1.92,1.34,,,0.22,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.916666666666666
Isaac,Thomson,,177.8,145.0,69.0,,9,3,0,21.0,47.0,4.0,5.0,1.4,2.2,4.0,0.0,,,0.0,45.0,80.0,4.0,44.0,4.0,44.0,1.0,11.0,15.0
Simeon,Thoresen,The Grin,185.42,170.0,79.0,Orthodox,17,6,1,103.0,236.0,,5.0,3.85,3.85,1.12,1.68,,,0.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.916666666666666
Josh,Thornburg,,182.88,170.0,,,8,8,0,18.0,36.0,,3.0,1.2,3.13,2.0,2.0,,,0.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,9.816666666666666
Ti,Haitao,,170.18,135.0,69.0,Orthodox,18,7,0,,,,,,,,,,,,,,,,,,,,
Gleison,Tibau,,177.8,155.0,71.0,Southpaw,33,14,0,601.0,1889.0,84.0,157.0,1.95,2.51,4.08,0.83,,,0.1,32.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,11.033333333333331
Chris,Tickle,BadBoy,175.26,155.0,,,9,9,0,16.0,40.0,,4.0,1.07,1.13,1.0,2.0,,,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Nolan,Ticman,,167.64,125.0,,Orthodox,4,3,0,77.0,162.0,,5.0,2.57,2.53,0.0,0.0,,,0.0,48.0,0.0,1.0,25.0,1.0,25.0,2.0,50.0,15.0
Darren,Till,The Gorilla,182.88,185.0,74.0,Southpaw,18,5,1,375.0,801.0,3.0,13.0,2.3,3.31,0.55,0.0,,,0.46,47.0,46.0,10.0,56.0,6.0,33.0,2.0,11.0,13.6
Brett,Tillis,,,145.0,,,0,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Rio,Tirto,,162.56,125.0,66.0,Switch,8,1,0,,,,,,,,,,,,,,,,,,,,
Denis,Tiuliulin,,185.42,185.0,77.0,Orthodox,10,10,0,170.0,413.0,,7.0,3.61,5.23,0.96,0.0,,,0.64,41.0,43.0,9.0,90.0,1.0,10.0,0.0,0.0,7.833333333333333
Ryan,Tobar,,,155.0,,,3,3,0,,,,,,,,,,,,,,,,,,,,
Rafael,Tobias,Bipolar,187.96,205.0,74.0,Orthodox,14,2,0,52.0,143.0,2.0,9.0,2.77,5.81,2.4,1.6,,,0.0,36.0,33.0,5.0,36.0,3.0,21.0,6.0,43.0,9.383333333333333
Andrew,Todhunter,The Sniper,182.88,185.0,,Switch,8,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.0,100.0,
Dusko,Todorovic,Thunder,185.42,185.0,74.0,Orthodox,13,6,0,400.0,693.0,2.0,47.0,4.73,4.4,1.77,0.35,,,0.0,58.0,21.0,8.0,62.0,1.0,8.0,4.0,31.0,7.683333333333334
Tuco,Tokkos,,193.04,205.0,76.0,Orthodox,11,6,0,122.0,293.0,,25.0,2.59,3.7,2.87,0.64,,,0.0,42.0,36.0,6.0,55.0,2.0,18.0,3.0,27.0,9.416666666666666
Hideo,Tokoro,,170.18,135.0,,Orthodox,34,29,2,,,,,,,,,,,,,,,,,,,,
Anatoly,Tokov,,177.8,185.0,,,25,2,0,,,,,,,,,,,,,,,,,,,,
Anelya,Toktogonova,,157.48,115.0,63.0,Southpaw,6,2,1,,,,,,,,,,,,,,,,,,,,
Kazuki,Tokudome,,180.34,155.0,73.0,Southpaw,18,7,1,119.0,289.0,,18.0,2.26,3.63,2.0,0.0,,,0.29,41.0,39.0,5.0,42.0,4.0,33.0,3.0,25.0,13.15
Puja,Tomar,Cyclone,154.94,115.0,59.0,Southpaw,9,6,0,140.0,282.0,,1.0,5.27,5.42,0.0,0.0,,,0.56,50.0,0.0,6.0,67.0,3.0,33.0,0.0,0.0,8.85
Tyler,Toner,,172.72,145.0,70.0,Orthodox,15,7,0,122.0,233.0,,,2.95,2.13,0.0,0.36,,,1.09,52.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334
James,Toney,Lights Out,175.26,220.0,,Orthodox,0,1,0,,,,,0.0,2.41,0.0,0.0,,0.0,,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316666666666667
Masanori,Tonooka,,172.72,185.0,,Orthodox,1,2,0,,,,,,,,,,,,,,,,,,,,
Carl,Toomey,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,
Ilia,Topuria,El Matador,170.18,155.0,69.0,Orthodox,17,0,0,405.0,840.0,5.0,18.0,4.81,3.83,1.96,1.07,,,1.25,48.0,61.0,7.0,41.0,2.0,12.0,8.0,47.0,9.366666666666667
Aleksandre,Topuria,El Conquistador,170.18,135.0,68.0,Orthodox,7,1,0,88.0,160.0,1.0,9.0,2.93,2.57,1.5,0.0,,,0.0,55.0,33.0,3.0,43.0,2.0,29.0,2.0,29.0,15.0
Anthony,Torres,The Crush,172.72,170.0,,Orthodox,5,3,0,24.0,49.0,,,3.54,7.52,0.0,2.21,,,0.0,49.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Miguel,Torres,,175.26,135.0,76.0,Orthodox,44,9,0,,,,,,,,,,,,,,,,,,,,
Ronys,Torres,,170.18,155.0,,Orthodox,35,5,0,26.0,99.0,,17.0,0.87,1.93,4.0,0.5,,,0.0,26.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Haven,Torres,,,125.0,,,0,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Alex,Torres,Rolo,177.8,145.0,,Orthodox,5,4,0,37.0,99.0,,9.0,2.47,2.73,2.0,0.0,,,0.0,37.0,22.0,2.0,100.0,0.0,0.0,0.0,0.0,15.0
Abram,Torres,,177.8,170.0,,,4,3,0,,,,,,,,,,,,,,,,,,,,
Jose,Torres,Shorty,162.56,125.0,65.0,Orthodox,8,1,0,51.0,138.0,1.0,3.0,4.37,9.84,1.28,0.0,,,0.0,37.0,33.0,4.0,50.0,2.0,25.0,2.0,25.0,5.85
Desmond,Torres,,167.64,135.0,69.0,Orthodox,7,2,0,22.0,34.0,,7.0,4.8,11.78,0.0,0.0,,,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333
Manuel,Torres,El Loco,177.8,155.0,73.0,Switch,17,3,0,127.0,213.0,,3.0,7.29,4.08,1.72,0.86,,,4.31,60.0,67.0,9.0,53.0,1.0,6.0,7.0,41.0,2.4833333333333334
Justice,Torres,,170.18,145.0,66.0,Southpaw,12,4,0,,,,,,,,,,,,,,,,,,,,
Eduardo,Torres Caut,Cyborg,170.18,135.0,70.0,Orthodox,16,2,0,,,,,,,,,,,,,,,,,,,,
Salim,Touahri,Grizzly,177.8,170.0,72.0,Orthodox,10,4,0,117.0,249.0,,3.0,2.6,2.87,0.0,0.0,,,0.0,47.0,0.0,6.0,60.0,2.0,20.0,2.0,20.0,15.0
Dequan,Townsend,The Tarantula,190.5,205.0,79.0,Orthodox,21,12,0,60.0,172.0,,,1.23,3.92,0.0,0.0,,,0.0,35.0,1.23,12.0,57.0,4.0,19.0,5.0,24.0,12.233333333333333
Minoru,Toyonaga,,180.34,195.0,,Southpaw,2,5,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Slim,Trabelsi,,190.5,235.0,,,5,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Roberto,Traven,Spider,190.5,227.0,,Orthodox,6,4,1,1.0,2.0,,,0.92,2.77,0.0,0.0,,0.0,,50.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333
Bryan,Travers,,,155.0,,,15,4,0,35.0,72.0,,7.0,2.33,3.93,2.0,0.0,,,0.0,49.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.816666666666666
Alexander,Trevino,,,170.0,,,7,7,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Francisco,Trevino,Sitkayan,175.26,155.0,70.0,Orthodox,13,3,0,82.0,193.0,,9.0,2.65,2.42,0.97,0.0,,,0.0,42.0,22.0,5.0,42.0,4.0,33.0,3.0,25.0,10.316666666666666
Angelo,Trevino,Baby Monsta,180.34,170.0,,Switch,7,3,0,40.0,73.0,,3.0,5.19,3.9,0.0,0.0,,,1.95,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Frank,Trigg,Twinkle Toes,175.26,170.0,71.0,Southpaw,21,9,0,160.0,342.0,,19.0,2.79,1.9,2.35,0.78,,,0.26,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,6.433333333333334
Francisco,Trinaldo,Massaranduba,175.26,170.0,70.0,Southpaw,28,9,0,1009.0,2230.0,16.0,50.0,3.13,2.67,0.98,0.51,,,0.23,45.0,42.0,9.0,32.0,14.0,50.0,5.0,18.0,12.383333333333333
Damien,Trites,The Omen,180.34,165.0,,,7,6,0,,,,,,,,,,,,,,,,,,,,
Michael,Trizano,The Lone Wolf,180.34,145.0,71.0,Orthodox,11,3,0,302.0,564.0,,3.0,3.63,4.4,0.36,0.54,,,0.54,54.0,67.0,3.0,27.0,6.0,55.0,2.0,18.0,11.883333333333333
Antonio,Trocoli,Malvado,195.58,185.0,80.0,Orthodox,12,7,0,43.0,91.0,,22.0,1.27,5.3,0.88,0.44,,,0.0,47.0,9.0,3.0,25.0,4.0,33.0,5.0,42.0,6.783333333333333
Tor,Troeng,The Hammer,187.96,185.0,,Orthodox,16,7,1,56.0,120.0,,26.0,1.16,3.26,0.62,0.31,,,0.0,47.0,8.0,6.0,38.0,4.0,25.0,6.0,38.0,12.05
Aaron,Trujillo,,165.1,125.0,,,0,1,0,,,,,,,,,,,,,,,,,,,,
Reynaldo,Trujillo,The Truth,175.26,155.0,,,21,19,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Abel,Trujillo,Killa,172.72,155.0,70.0,Orthodox,15,8,0,273.0,662.0,15.0,33.0,2.65,2.31,2.18,0.44,,,0.44,41.0,45.0,7.0,47.0,6.0,40.0,2.0,13.0,9.383333333333333
Arman,Tsarukyan,Ahalkalakets,170.18,155.0,72.0,Orthodox,23,3,0,567.0,1133.0,3.0,85.0,3.85,1.8,3.26,0.1,,,0.31,50.0,38.0,9.0,39.0,8.0,35.0,6.0,26.0,12.266666666666667
Rei,Tsuruya,,167.64,125.0,68.0,Orthodox,11,1,0,143.0,266.0,3.0,54.0,2.4,1.91,5.03,2.01,,,0.0,54.0,37.0,4.0,36.0,2.0,18.0,5.0,45.0,9.933333333333334
Magomed,Tuchalov,Wild,,205.0,,,6,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Chris,Tuchscherer,The Crowbar,187.96,258.0,76.0,Orthodox,21,4,0,34.0,107.0,,11.0,1.35,3.17,1.19,0.59,,0.0,,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.316666666666666
Jon,Tuck,Super Saiyan,180.34,155.0,73.0,Orthodox,10,5,0,324.0,809.0,3.0,9.0,3.0,3.74,0.42,0.97,,,0.28,40.0,33.0,4.0,40.0,1.0,10.0,5.0,50.0,11.983333333333333
Gavin,Tucker,Guv'nor,167.64,145.0,66.0,Southpaw,13,3,0,309.0,691.0,1.0,34.0,4.29,4.18,3.13,1.46,,,0.0,45.0,44.0,4.0,31.0,3.0,23.0,6.0,46.0,10.283333333333331
Jumabieke,Tuerxun,The Wild Wolf,170.18,135.0,,Orthodox,19,4,1,51.0,176.0,,9.0,1.6,3.08,0.47,0.94,,,0.0,29.0,11.0,3.0,18.0,9.0,53.0,5.0,29.0,10.6
Tom,Tuggle,The Law,187.96,250.0,,Orthodox,0,3,0,,,,,0.0,2.14,32.14,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
Blair,Tugman,,182.88,135.0,,,10,6,0,,,,,,,,,,,,,,,,,,,,
Tai,Tuivasa,Bam Bam,187.96,264.0,75.0,Southpaw,15,10,0,491.0,1010.0,,3.0,3.37,4.61,0.0,0.0,,,0.82,49.0,0.0,14.0,93.0,1.0,7.0,0.0,0.0,8.1
Zubaira,Tukhugov,Warrior,172.72,155.0,68.0,Orthodox,20,6,1,357.0,894.0,7.0,41.0,3.17,3.07,2.13,0.0,,,0.4,40.0,39.0,7.0,35.0,12.0,60.0,1.0,5.0,12.516666666666667
Teila,Tuli,,182.88,430.0,,Orthodox,0,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Marco,Tulio,Matuto,182.88,185.0,74.0,Orthodox,14,3,0,345.0,641.0,,15.0,6.02,2.97,1.05,0.26,,1.31,,54.0,27.0,10.0,71.0,3.0,21.0,1.0,7.0,9.55
Nyamjargal,Tumendemberel,Art of Knockout,170.18,125.0,71.0,Orthodox,10,1,0,133.0,316.0,,22.0,2.72,2.47,3.37,2.15,,,0.61,42.0,50.0,2.0,20.0,2.0,20.0,6.0,60.0,9.783333333333331
Albert,Tumenov,Einstein,180.34,170.0,73.0,Orthodox,18,4,0,279.0,664.0,,5.0,3.76,3.34,0.2,0.0,,,1.01,42.0,20.0,11.0,65.0,6.0,35.0,0.0,0.0,9.266666666666667
Ricky,Turcios,,175.26,145.0,71.0,Orthodox,13,6,0,412.0,1031.0,2.0,28.0,4.68,3.84,0.85,0.34,,,0.17,40.0,18.0,3.0,23.0,9.0,69.0,1.0,8.0,12.583333333333334
Anton,Turkalj,The Pleasure Man,193.04,205.0,78.0,Orthodox,8,4,0,118.0,275.0,,39.0,2.45,3.42,4.98,0.0,,,0.0,43.0,41.0,5.0,63.0,1.0,13.0,2.0,25.0,9.633333333333333
Wellington,Turman,The Prodigy,182.88,170.0,72.0,Orthodox,18,8,0,312.0,609.0,4.0,48.0,3.23,4.17,1.55,0.78,,,0.0,51.0,21.0,4.0,22.0,6.0,33.0,8.0,44.0,10.733333333333333
Courtney,Turner,,187.96,170.0,,,0,3,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Jalin,Turner,The Tarantula,190.5,155.0,77.0,Southpaw,15,9,0,576.0,1177.0,,9.0,5.79,4.54,0.75,1.06,,,1.51,49.0,56.0,11.0,73.0,0.0,0.0,4.0,27.0,6.633333333333334
Austin,Tweedy,,175.26,155.0,,Orthodox,8,2,0,2.0,3.0,,,4.29,6.43,0.0,0.0,0.0,,,67.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,
Marcin,Tybura,Tybur,190.5,249.0,78.0,Orthodox,27,11,0,942.0,1954.0,11.0,69.0,3.56,3.26,1.3,0.11,,,0.06,48.0,33.0,10.0,37.0,10.0,37.0,7.0,26.0,11.016666666666667
Raphael,Uchegbu,,175.26,135.0,73.0,Orthodox,10,2,0,,,,,,,,,,,,,,,,,,,,
Takeru,Uchida,,170.18,125.0,68.0,Southpaw,9,2,0,2.0,5.0,,5.0,0.42,0.63,3.17,6.34,,0.0,,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3666666666666667
